drug_name,response_variant,rating_1_5,notes,reviewed_by
암로디핀,"이 약은 혈압을 낮춰주는 칼슘채널차단제입니다. 하루 한 번 드세요.",,"팀 평가 대기",
암로디핀,"암로디핀은 혈관을 확장시켜 혈압을 조절합니다. 매일 같은 시간에 복용하시고, 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
암로디핀,"혈관 확장을 통해 혈압을 낮추는 약입니다. 발목 부종이 나타날 수 있으며, 자세한 사항은 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
리시노프릴,"ACE 억제제로 혈압을 조절합니다. 마른기침이 나타날 수 있습니다.",,"팀 평가 대기",
리시노프릴,"리시노프릴은 혈관을 이완시켜 혈압을 낮춥니다. 복용 중 마른기침이 지속되면 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
메트포르민,"메트포르민은 간에서 포도당 생성을 억제하고 인슐린 감수성을 개선합니다. 식사와 함께 복용하며, 어지럼증·속쓰림 발생 시 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
메트포르민,"이 약은 혈당을 낮춰주는 당뇨약입니다. 속이 불편할 수 있어요.",,"팀 평가 대기",
메트포르민,"2형 당뇨의 1차 치료제로 식사와 함께 복용합니다. 조영제 검사 전에는 의사 또는 약사에게 알리십시오.",,"팀 평가 대기",
글리메피리드,"설포닐우레아 계열 당뇨약으로 저혈당이 나타날 수 있습니다. 식전 복용이 일반적이며, 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
글리메피리드,"혈당을 낮추는 약인데 공복 복용하면 저혈당 올 수 있으니 조심하세요.",,"팀 평가 대기",
아세트아미노펜,"아세트아미노펜은 해열·진통 효과가 있으며, 1일 최대 4,000mg을 넘지 마십시오. 복용 중 음주는 피하시고 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
아세트아미노펜,"해열·진통에 쓰는 약이에요. 간에 부담이 될 수 있으니 많이 드시면 안 돼요.",,"팀 평가 대기",
이부프로펜,"이부프로펜은 비스테로이드성 소염진통제(NSAID)로 위장관·신장에 부담이 될 수 있습니다. 식후 복용을 권장하며, 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
이부프로펜,"소염진통제예요. 속쓰림이 올 수 있으니 밥 먹고 드세요.",,"팀 평가 대기",
아목시실린,"아목시실린은 페니실린계 항생제입니다. 처방된 기간을 끝까지 복용하시고, 피부 발진이 나타나면 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
아목시실린,"세균 감염에 쓰는 항생제예요. 중단하지 말고 다 드세요.",,"팀 평가 대기",
아지트로마이신,"아지트로마이신은 마크로라이드계 항생제이며 QT 연장 가능성이 있습니다. 처방된 일정대로 복용하시고, 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
플루옥세틴,"플루옥세틴은 SSRI 계열 항우울제입니다. 효과가 나타나기까지 2–4주가 걸릴 수 있으며, 임의로 중단하지 마시고 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
플루옥세틴,"우울·불안에 쓰는 약이에요. 효과 느껴지려면 시간이 걸려요.",,"팀 평가 대기",
디아제팜,"디아제팜은 벤조디아제핀계 약물로 단기 사용이 원칙입니다. 의존성과 졸음이 올 수 있으므로 운전은 피하시고 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
오메프라졸,"오메프라졸은 위산 분비를 억제하는 PPI입니다. 식전 30분 복용을 권장하며, 장기 복용 시 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
오메프라졸,"위산 줄이는 약이에요. 아침 식전에 드세요.",,"팀 평가 대기",
살부타몰 흡입제,"살부타몰은 급성 기관지수축 시 사용하는 속효성 기관지확장제입니다. 심계항진이 나타날 수 있으며, 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
몬테루카스트,"몬테루카스트는 천식 예방 및 알레르기 비염에 사용됩니다. 드물게 기분 변화가 보고되므로 이상 시 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
세티리진,"세티리진은 2세대 항히스타민제로 알레르기 증상을 완화합니다. 졸음이 올 수 있으며, 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
아토르바스타틴,"아토르바스타틴은 스타틴 계열 약물로 LDL 콜레스테롤을 낮춥니다. 근육통이 심하면 즉시 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
아토르바스타틴,"콜레스테롤 낮추는 약인데 근육 아프면 얘기하세요.",,"팀 평가 대기",
클로피도그렐,"클로피도그렐은 항혈소판제로 출혈 위험이 증가할 수 있습니다. 치과·외과 시술 전 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
와파린,"와파린은 항응고제로 정기적인 INR 검사가 필요합니다. 녹황색 채소 등 비타민K 섭취를 일정하게 유지하고, 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
파라세타몰 시럽,"소아용 해열제로 체중 기준으로 용량을 계산합니다. 6시간 이상 간격으로 복용하시고, 의사 또는 약사와 상담하십시오.",,"팀 평가 대기",
