drug_1,drug_2,expected_alert,rule_type,patient_context,notes,reviewed_by
아스피린,와파린,true,combined,{},출혈 위험 증가 (대표 병용금기),
이부프로펜,와파린,true,combined,{},NSAID + 항응고제 출혈 위험,
이부프로펜,리튬,true,combined,{},리튬 혈중농도 상승,
클래리트로마이신,심바스타틴,true,combined,{},CYP3A4 억제로 횡문근융해증 위험,
에리트로마이신,심바스타틴,true,combined,{},CYP3A4 억제로 스타틴 독성 증가,
플루옥세틴,트라마돌,true,combined,{},세로토닌 증후군 위험,
세르트랄린,리네졸리드,true,combined,{},MAO 억제 + SSRI 세로토닌 증후군,
파록세틴,MAOI,true,combined,{},세로토닌 증후군 (draft — 약사 검증 필요),
실데나필,질산이소소르비드,true,combined,{},중증 저혈압 위험,
수마트립탄,에르고타민,true,combined,{},말초혈관 수축 중첩,
메트로니다졸,와파린,true,combined,{},와파린 대사 억제로 INR 상승,
클로피도그렐,오메프라졸,true,combined,{},CYP2C19 억제로 항혈소판 효과 감소,
디곡신,아미오다론,true,combined,{},디곡신 혈중농도 상승,
리팜핀,와파린,true,combined,{},CYP 유도로 와파린 효과 감소,
카바마제핀,에리트로마이신,true,combined,{},카바마제핀 혈중농도 상승,
아스피린,,true,age,"{""age_years"":12}",18세 미만 Reye 증후군 위험,
세티리진,,true,age,"{""age_years"":1}",2세 미만 사용 금기,
독시사이클린,,true,age,"{""age_years"":6}",8세 미만 치아 변색,
테트라사이클린,,true,age,"{""age_years"":5}",8세 미만 치아 착색·골성장 억제,
아스피린,,true,age,"{""age_years"":15}",청소년 Reye 증후군 주의,
플루오로퀴놀론,,true,age,"{""age_years"":14}",18세 미만 연골 독성 우려 (draft — 약사 검증 필요),
프로메타진,,true,age,"{""age_years"":1}",2세 미만 호흡억제 위험,
코데인,,true,age,"{""age_years"":10}",12세 미만 수술 후 호흡억제,
이소트레티노인,,true,pregnancy,"{""is_pregnant"":true}",기형유발 (FDA Category X),
와파린,,true,pregnancy,"{""is_pregnant"":true}",태아 와파린 증후군,
테트라사이클린,,true,pregnancy,"{""is_pregnant"":true}",태아 치아·골 형성 장애,
메토트렉세이트,,true,pregnancy,"{""is_pregnant"":true}",기형유발 및 유산,
에날라프릴,,true,pregnancy,"{""is_pregnant"":true}",ACE 억제제 태아 신장 독성,
로살탄,,true,pregnancy,"{""is_pregnant"":true}",ARB 2·3분기 금기,
미소프로스톨,,true,pregnancy,"{""is_pregnant"":true}",자궁수축 유도,
리바비린,,true,pregnancy,"{""is_pregnant"":true}",기형유발 (Category X),
아세트아미노펜,,true,dose,"{""daily_dose_mg"":5000}",1일 최대 4000mg 초과,
이부프로펜,,true,dose,"{""daily_dose_mg"":3600}",1일 최대 3200mg 초과,
아세트아미노펜,,true,dose,"{""daily_dose_mg"":4500}",만성 간손상 위험 용량,
나프록센,,true,dose,"{""daily_dose_mg"":1700}",1일 최대 1500mg 초과,
로라제팜,,true,dose,"{""daily_dose_mg"":12}",1일 최대 10mg 초과,
이부프로펜,나프록센,true,duplicate,{},NSAID 효능군 중복,
오메프라졸,판토프라졸,true,duplicate,{},PPI 효능군 중복,
디아제팜,로라제팜,true,duplicate,{},벤조디아제핀 중복,
아목시실린,암피실린,true,duplicate,{},아미노페니실린 중복,
세티리진,로라타딘,true,duplicate,{},2세대 항히스타민 중복,
심바스타틴,아토르바스타틴,true,duplicate,{},스타틴 중복,
디펜히드라민,,true,elderly,"{""age_years"":72}",항콜린 부담 (Beers criteria),
디아제팜,,true,elderly,"{""age_years"":78}",낙상·인지기능 저하 위험,
디곡신,,true,elderly,"{""age_years"":80,""daily_dose_mg"":0.25}",노인 0.125mg 권장 초과,
아미트립틸린,,true,elderly,"{""age_years"":75}",삼환계 항콜린 부담,
클로르페니라민,,true,elderly,"{""age_years"":70}",1세대 항히스타민 Beers,
리팜핀,,true,specific_age,"{""age_years"":2}",특정 연령대 용량 조정 필요 (draft — 약사 검증 필요),
발프로산,,true,specific_age,"{""age_years"":1}",2세 미만 간독성 위험,
메토트렉세이트,,true,pregnant_woman,"{""is_pregnant"":true}",임부 금기 단일 약물 규칙,
